titulo,abstract,clase_pri,clase_otr
The Parallel-Repeated Magic Square Game is Rigid,"  We show that the $n$-round parallel repetition of the Magic Square game of
Mermin and Peres is rigid, in the sense that for any entangled strategy
succeeding with probability $1 -\varepsilon$, the players' shared state is
$O(\mathrm{poly}(n\varepsilon))$-close to $2n$ EPR pairs under a local
isometry. Furthermore, we show that, under local isometry, the players'
measurements in said entangled strategy must be
$O(\mathrm{poly}(n\varepsilon))$ close to the ""ideal"" strategy when acting on
the shared state.

    ",Quantum Physics (quant-ph),
Collective excitations in twisted bilayer graphene close to the magic angle,"  The electronic properties of twisted bilayer graphene (TBG) can be
dramatically different from those of a single graphene layer, in particular
when the two layers are rotated relative to each other by a small angle. TBG
has recently attracted a great deal of interest, sparked by the discovery of
correlated insulating and superconducting states, for twist angle $\theta$
close to a so-called 'magic angle' $\approx 1.1°$. In this work, we
unveil, via near-field optical microscopy, a collective plasmon mode in
charge-neutral TBG near the magic angle, which is dramatically different from
the ordinary single-layer graphene intraband plasmon. In selected regions of
our samples, we find a gapped collective mode with linear dispersion, akin to
the bulk magnetoplasmons of a two-dimensional (2D) electron gas. We interpret
these as interband plasmons and associate those with the optical transitions
between quasi-localized states originating from the moiré superlattice.
Surprisingly, we find a higher plasmon group velocity than expected, which
implies an enhanced strength of the corresponding optical transition. This
points to a weaker interlayer coupling in the AA regions. These intriguing
optical properties offer new insights, complementary to other techniques, on
the carrier dynamics in this novel quantum electron system.

    ",Strongly Correlated Electrons (cond-mat.str-el),; Mesoscale and Nanoscale Physics (cond-mat.mes-hall)
Field-tuned and zero-field fractional Chern insulators in magic angle graphene,"  In contrast to the fractional quantum Hall (FQH) effect, where electron
density fixes the applied magnetic field, fractional Chern insulators (FCIs)
can realize FQH states in comparatively weak or even zero magnetic fields.
Previous theoretical work highlighted magic angle graphene as a promising FCI
platform, satisfying the twin requirements of flat bands and
lowest-Landau-level-like quantum geometry. Indeed, recent experiments have
demonstrated FCIs in magic angle graphene with weak magnetic fields. Here we
conduct a detailed theoretical study of the most prominent FCI state observed,
and clarify the role of the magnetic field in stabilizing this state. We
introduce two new technical tools: first, we generalize the notion of ideal
quantum geometry to Hofstadter minibands and, second, we extend the
Hartree-Fock theory of magic-angle graphene to finite field, to account for the
interaction generated bandwidth. We show that magnetic field both dramatically
reduces the effective bandwidth and improves the quantum geometry for hosting
FCIs. Using density matrix renormalization group (DMRG) simulations of a
microscopic model of magic angle graphene, we establish the regime of bandwidth
and quantum geometry indicators where FCIs are stabilized. Further
characterizing the finite-field bands by the same quantities we show how a
zero-field charge density wave state gives way to an FCI state at a magnetic
flux consistent with experiment. We also speculate on the other FCIs seen in
the same experiments, including anomalous incompressible states and
even-denominator fractions which may host non-Abelian states. Finally, when
bandwidth is the limiting factor, we propose a range of experimental parameters
where FCIs should appear at zero magnetic field.

    ",Strongly Correlated Electrons (cond-mat.str-el),; Statistical Mechanics (cond-mat.stat-mech)
Extending and Characterizing Quantum Magic Games,"  The Mermin-Peres magic square game is a cooperative two-player nonlocal game
in which shared quantum entanglement allows the players to win with certainty,
while players limited to classical operations cannot do so, a phenomenon dubbed
""quantum pseudo-telepathy"". The game has a referee separately ask each player
to color a subset of a 3x3 grid. The referee checks that their colorings
satisfy certain parity constraints that can't all be simultaneously realized.
",Quantum Physics (quant-ph),
The Active Mirror Control of the MAGIC Telescope,"  One of the main design goals of the MAGIC telescopes is the very fast
repositioning in case of Gamma Ray Burst (GRB) alarms, implying a low weight of
the telescope dish. This is accomplished by using a space frame made of carbon
fiber epoxy tubes, resulting in a strong but not very rigid support structure.
Therefore it is necessary to readjust the individual mirror tiles to correct
for deformations of the dish under varying gravitational load while tracking an
object. We present the concept of the Active Mirror Control (AMC) as
implemented in the MAGIC telescopes and the actual performance reached.
Additionally we show that also telescopes using a stiff structure can benefit
from using an AMC.

    ",Astrophysics (astro-ph),
Large Pauli Limit Violation and Reentrant Superconductivity in Magic-Angle Twisted Trilayer Graphene,"  Moiré quantum matter has emerged as a novel materials platform where
correlated and topological phases can be explored with unprecedented control.
Among them, magic-angle systems constructed from two or three layers of
graphene have shown robust superconducting phases with unconventional
characteristics. However, direct evidence for unconventional pairing remains to
be experimentally demonstrated. Here, we show that magic-angle twisted trilayer
graphene (MATTG) exhibits superconductivity up to in-plane magnetic fields in
excess of 10 T, which represents a large ($2\sim3$ times) violation of the
Pauli limit for conventional spin-singlet superconductors. This observation is
surprising for a system which is not expected to have strong spin-orbit
coupling. Furthermore, the Pauli limit violation is observed over the entire
superconducting phase, indicating that it is not related to a possible
pseudogap phase with large superconducting amplitude pairing. More strikingly,
we observe reentrant superconductivity at large magnetic fields, which is
present in a narrower range of carrier density and displacement field. These
findings suggest that the superconductivity in MATTG is likely driven by a
mechanism resulting in non-spin-singlet Cooper pairs, where the external
magnetic field can cause transitions between phases with potentially different
order parameters. Our results showcase the richness of moiré
superconductivity and may pave a new route towards designing next-generation
exotic quantum matter.

    ",Mesoscale and Nanoscale Physics (cond-mat.mes-hall),; Strongly Correlated Electrons (cond-mat.str-el); Superconductivity (cond-mat.supr-con)
Magnetic Josephson Junctions and Superconducting Diodes in Magic Angle Twisted Bilayer Graphene,"  The simultaneous co-existence and gate-tuneability of the superconducting
(SC), magnetic and topological orders in magic angle twisted bilayer graphene
(MATBG) open up entirely new possibilities for the creation of complex hybrid
Josephson junctions (JJ). Here we report on the creation of gate-defined,
magnetic Josephson junctions in MATBG, where the weak link is gate-tuned close
to the correlated state at a moiré filling factor of {\nu}=-2. A highly
unconventional Fraunhofer pattern emerges, which is phase-shifted and
asymmetric with respect to the current and magnetic field directions, and shows
a pronounced magnetic hysteresis. Interestingly, our theoretical calculations
of the JJ with a valley polarized {\nu}=-2 with orbital magnetization as the
weak link explain most of these unconventional features without fine tuning the
parameters. While these unconventional Josephson effects persist up to the
critical temperature Tc ~ 3.5K of the superconducting state, at temperatures
below T < 800mK, we observed a pronounced magnetic hysteresis possibly due to
further spin-polarization of the {\nu}=-2 state. We demonstrate how the
combination of magnetization and its current induced magnetization switching in
the MATBG JJ allows us to realize a programmable zero field superconducting
diode, which represents a major building block for a new generation of
superconducting quantum electronics.

    ",Superconductivity (cond-mat.supr-con),; Mesoscale and Nanoscale Physics (cond-mat.mes-hall); Strongly Correlated Electrons (cond-mat.str-el)
"Combined dark matter searches towards dwarf spheroidal galaxies with Fermi-LAT, HAWC, H.E.S.S., MAGIC, and VERITAS","  Cosmological and astrophysical observations suggest that 85\% of the total
matter of the Universe is made of Dark Matter (DM). However, its nature remains
one of the most challenging and fundamental open questions of particle physics.
Assuming particle DM, this exotic form of matter cannot consist of Standard
Model (SM) particles. Many models have been developed to attempt unraveling the
nature of DM such as Weakly Interacting Massive Particles (WIMPs), the most
favored particle candidates. WIMP annihilations and decay could produce SM
particles which in turn hadronize and decay to give SM secondaries such as high
energy $\gamma$ rays. In the framework of indirect DM search, observations of
promising targets are used to search for signatures of DM annihilation. Among
these, the dwarf spheroidal galaxies (dSphs) are commonly favored owing to
their expected high DM content and negligible astrophysical background. In this
work, we present the very first combination of 20 dSph observations, performed
by the Fermi-LAT, HAWC, H.E.S.S., MAGIC, and VERITAS collaborations in order to
maximize the sensitivity of DM searches and improve the current results. We use
a joint maximum likelihood approach combining each experiment's individual
analysis to derive more constraining upper limits on the WIMP DM
self-annihilation cross-section as a function of DM particle mass. We present
new DM constraints over the widest mass range ever reported, extending from 5
GeV to 100 TeV thanks to the combination of these five different $\gamma$-ray
instruments.

    ",High Energy Physics - Experiment (hep-ex),; High Energy Astrophysical Phenomena (astro-ph.HE)
Twistons in a Sea of Magic,"  Magic angle twisted trilayer graphene (TTG) has recently emerged as a new
platform to engineer strongly correlated flat bands. Here, we reveal the
structural and electronic properties of TTG using low temperature scanning
tunneling microscopy at twist angles for which superconductivity has been
observed. Real trilayer samples deviate from their idealized structure due to a
strong reconstruction of the moiré lattice, which locks layers into
near-magic angle, mirror symmetric domains comparable in size to the
superconducting coherence length. The price for this magic relaxation is the
introduction of an array of localized twist angle faults, termed twistons.
These novel, gate-tunable moiré defects offer a natural explanation for the
superconducting dome observed in transport and provide an avenue to probe
superconducting pairing mechanisms through disorder tuning.

    ",Strongly Correlated Electrons (cond-mat.str-el),; Mesoscale and Nanoscale Physics (cond-mat.mes-hall); Superconductivity (cond-mat.supr-con)
Black Magic in Deep Learning: How Human Skill Impacts Network Training,"  How does a user's prior experience with deep learning impact accuracy? We
present an initial study based on 31 participants with different levels of
experience. Their task is to perform hyperparameter optimization for a given
deep learning architecture. The results show a strong positive correlation
between the participant's experience and the final performance. They
additionally indicate that an experienced participant finds better solutions
using fewer resources on average. The data suggests furthermore that
participants with no prior experience follow random strategies in their pursuit
of optimal hyperparameters. Our study investigates the subjective human factor
in comparisons of state of the art results and scientific reproducibility in
deep learning.

    ",Computer Vision and Pattern Recognition (cs.CV),
"MARS, the MAGIC Analysis and Reconstruction Software","  With the commissioning of the second MAGIC gamma-ray Cherenkov telescope
situated close to MAGIC-I, the standard analysis package of the MAGIC
collaboration, MARS, has been upgraded in order to perform the stereoscopic
reconstruction of the detected atmospheric showers. MARS is a ROOT-based code
written in C++, which includes all the necessary algorithms to transform the
raw data recorded by the telescopes into information about the physics
parameters of the observed targets. An overview of the methods for extracting
the basic shower parameters is presented, together with a description of the
tools used in the background discrimination and in the estimation of the
gamma-ray source spectra.

    ",Instrumentation and Methods for Astrophysics (astro-ph.IM),; High Energy Astrophysical Phenomena (astro-ph.HE)
Irreducible magic sets for $n$-qubit systems,"  Magic sets of observables are minimal structures that capture quantum
state-independent advantage for systems of $n\ge 2$ qubits and are, therefore,
fundamental tools for investigating the interface between classical and quantum
physics. A theorem by Arkhipov (",Quantum Physics (quant-ph),
Critical magnetic fields and electron-pairing in magic-angle twisted bilayer graphene,"  The velocities of the quasiparticles that form Cooper pairs in a
superconductor are revealed by the upper critical magnetic field. Here we use
this property to assess superconductivity in magic-angle twisted bilayer
graphene (MATBG), which has been observed over a range of moiré band filling,
twist angle, and screening environment conditions. We find that for pairing
mechanisms that are unrelated to correlations within the MATBG flat bands,
minima in an average Fermi velocity $v_F^* \equiv k_B T_c \ell_c /\hbar $,
where $\ell_c$ is the magnetic length at the critical perpendicular magnetic
field, are always coincident with transition temperature maxima. Both extrema
occur near flat-band van Hove singularities. Since no such association is
present in MATBG experimental data, we conclude that electronic correlations
that yield a band-filling-dependent pairing glue must play a crucial role in
MATBG superconductivity.

    ",Superconductivity (cond-mat.supr-con),
Magic-angle graphene superlattices: a new platform for unconventional superconductivity,"  The understanding of strongly-correlated materials, and in particular
unconventional superconductors, has puzzled physicists for decades. Such
difficulties have stimulated new research paradigms, such as ultra-cold atom
lattices for simulating quantum materials. Here we report on the realization of
intrinsic unconventional superconductivity in a 2D superlattice created by
stacking two graphene sheets with a small twist angle. For angles near
$1.1^\circ$, the first `magic' angle, twisted bilayer graphene (TBG) exhibits
ultra-flat bands near charge neutrality, which lead to correlated insulating
states at half-filling. Upon electrostatic doping away from these correlated
insulating states, we observe tunable zero-resistance states with a critical
temperature $T_c$ up to 1.7 K. The temperature-density phase diagram shows
similarities with that of the cuprates, including superconducting domes.
Moreover, quantum oscillations indicate small Fermi surfaces near the
correlated insulating phase, in analogy with under-doped cuprates. The relative
high $T_c$, given such small Fermi surface (corresponding to a record-low 2D
carrier density of $10^{11} \textrm{cm}^{-2}$ , renders TBG among the strongest
coupling superconductors, in a regime close to the BCS-BEC crossover. These
novel results establish TBG as the first purely carbon-based 2D superconductor
and as a highly tunable platform to investigate strongly-correlated phenomena,
which could lead to insights into the physics of high-$T_c$ superconductors and
quantum spin liquids.

    ",Mesoscale and Nanoscale Physics (cond-mat.mes-hall),; Strongly Correlated Electrons (cond-mat.str-el); Superconductivity (cond-mat.supr-con)
Fine structure of flat bands in a chiral model of magic angles,"  We analyze symmetries of Bloch eigenfunctions at magic angles for the
Tarnopolsky--Kruchkov--Vishwanath chiral model of the twisted bilayer graphene
(TBG) following the framework introduced by Becker--Embree--Wittsten--Zworski.
In particular, we show that vanishing of the first Bloch eigenvalue away from
the Dirac points implies its vanishing at all momenta, that is the existence of
a flat band. We then study how the multiplicity of the flat band is related to
the nodal set of the Bloch eigenfunctions. We also demonstrate that for a
generic choice of tunneling potentials, obeying all translational and
rotational symmetries, the Hamiltonian only exhibits flat bands of minimal
multiplicity. We conclude with two numerical observations about the structure
of flat bands.

    ",Mathematical Physics (math-ph),; Materials Science (cond-mat.mtrl-sci); Strongly Correlated Electrons (cond-mat.str-el); Spectral Theory (math.SP); Quantum Physics (quant-ph)
Advanced stereoscopic gamma-ray shower analysis with the MAGIC telescopes,"  The MAGIC experiment was upgraded to a two-telescope system in 2009. Unlike
other Imaging Air Cherenkov Telescope arrays, MAGIC has operated for five years
exclusively in monoscopic mode, and the single telescope analysis was optimized
throughout this time. To improve the analysis, we used techniques like the
random forest event classification method for different purposes, and
sophisticated image cleaning algorithms. The monoscopic performance was
optimized in the energy domain around and below 100 GeV, which is inaccessible
for the other arrays of Cherenkov telescopes. Still, with these analysis
techniques, we were competitive also in the TeV regime. In the recent
development of the stereoscopic analysis chain, the know-how of these single
telescope techniques was combined with the new possibilities of the
three-dimensional reconstruction, taking advantage both of the richness of
single images and their projections onto the sky. We present recent
advancements in the image cleaning and direction reconstruction algorithms, sky
mapping and other procedures currently used in the analysis of MAGIC stereo
data.

    ",Instrumentation and Methods for Astrophysics (astro-ph.IM),
Isotopic shift and search of magic number in the superheavy region,"  The ground state bulk properties such as binding energy, root-mean-square
radius, pairing energy, nuclear density distributions, and single-particle
energies are calculated for the isotopic chain of Ca, Sn, Pb, and Z = 120
nuclei. The relativistic mean-field with recently developed G3, IOPB-1, and
Relativistic-Hartree-Bogoliubov with density-dependent DD-ME1 and DD-ME2
parameter sets are used in the present analysis. The respective shifts over the
isotopic chain for the structural observables and surface property like
symmetry energy are also estimated using a three-point method, which is crucial
for the systematic analysis of the shell/sub-shell closure. The calculated
results are compared with the available experimental data for various bulk
properties, wherever available. A multiple isotopic shifts leads to the
shell/sub-shell closure at N = (20 \& 28), (50 \& 82), and 126 for Ca, Sn, and
Pb isotopes, respectively, are observed. The analysis also supports the neutron
magic at N = 40 and 184 for highly neutron-rich $^{60}$Ca, and $^{304}$120,
predicted to be the next double magic beyond $^{208}$Pb, respectively.
Observing the occupancy number, we notice the higher neutron orbitals are
mostly occupied before the lower one, which causes the kinks at neutron magic
with an amalgam in the isotopic chain trend above nuclei. We also notice the
correlation between the occupation probabilities and the magicity of a nucleus
and vice-versa.

    ",Nuclear Theory (nucl-th),
Magic ELF: Image Deraining Meets Association Learning and Transformer,"  Convolutional neural network (CNN) and Transformer have achieved great
success in multimedia applications. However, little effort has been made to
effectively and efficiently harmonize these two architectures to satisfy image
deraining. This paper aims to unify these two architectures to take advantage
of their learning merits for image deraining. In particular, the local
connectivity and translation equivariance of CNN and the global aggregation
ability of self-attention (SA) in Transformer are fully exploited for specific
local context and global structure representations. Based on the observation
that rain distribution reveals the degradation location and degree, we
introduce degradation prior to help background recovery and accordingly present
the association refinement deraining scheme. A novel multi-input attention
module (MAM) is proposed to associate rain perturbation removal and background
recovery. Moreover, we equip our model with effective depth-wise separable
convolutions to learn the specific feature representations and trade off
computational complexity. Extensive experiments show that our proposed method
(dubbed as ELF) outperforms the state-of-the-art approach (MPRNet) by 0.25 dB
on average, but only accounts for 11.7\% and 42.1\% of its computational cost
and parameters. The source code is available at
",Computer Vision and Pattern Recognition (cs.CV),
Complex instruction set computing architecture for performing accurate quantum $Z$ rotations with less magic,"  We present quantum protocols for executing arbitrarily accurate $\pi/2^k$
rotations of a qubit about its $Z$ axis. Reduced instruction set computing
(\textsc{risc}) architectures typically restrict the instruction set to
stabilizer operations and a single non-stabilizer operation, such as
preparation of a ""magic"" state from which $T = Z(\pi/4)$ gates can be
teleported. Although the overhead required to distill high-fidelity copies of
this magic state is high, the subsequent quantum compiling overhead to realize
$Z$ rotations in a \textsc{risc} architecture can be much greater. We develop a
complex instruction set computing (\textsc{cisc}) architecture whose
instruction set includes stabilizer operations and preparation of magic states
from which $Z(\pi/2^k)$ gates can be teleported, for $2 \leq k \leq
k_{\text{max}}$. This results in a substantial overall reduction in the number
of gates required to achieve a desired gate accuracy for $Z$ rotations. The key
to our construction is a family of shortened quantum Reed-Muller codes of
length $2^{k+2}-1$, whose magic-state distillation threshold shrinks with $k$
but is greater than 0.85% for $k \leq 6$.

    ",Quantum Physics (quant-ph),
Integrability in the chiral model of magic angles,"  Magic angles in the chiral model of twisted bilayer graphene are parameters
for which the chiral version of the Bistritzer--MacDonald Hamiltonian exhibits
a flat band at energy zero. We compute the sums over powers of (complex) magic
angles and use that to show that the set of magic angles is infinite. We also
provide a new proof of the existence of the first real magic angle, showing
also that the corresponding flat band has minimal multiplicity for the simplest
possible choice of potentials satisfying all symmetries. These results indicate
(though not prove) a hidden integrability of the chiral model.

    ",Mathematical Physics (math-ph),; Materials Science (cond-mat.mtrl-sci); Strongly Correlated Electrons (cond-mat.str-el); Spectral Theory (math.SP); Quantum Physics (quant-ph)
